,CID,SMILES,affinity
294,TAM-UNI-d1c3dd9f-12,O=C(CCl)N1CCN(Cc2cccc(CNC(=O)N3CCOCC3)c2)CC1,4.298280765
224,DAN-LON-a5fc619e-10,O=C(CCl)N1CCN(Cc2cccc(Cl)c2)C[C@@H]1Cc1ccccc1,4.724672172
281,MAT-POS-02ae579f-2,O=C(Nc1cccnc1)NC1(C#Cc2c[nH]cn2)CC1,4.351296752
1,JOH-MSK-46727e7b-1,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CCNC1=O)C(O)S(=O)(=O)O,7.587378986
325,JAN-GHE-5a013bed-1,Cc1nnn(NC(=O)Cc2cccc(Cl)c2)c1C,4.134562499
271,MAT-POS-044491d2-1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2CCCC2O)c1,4.410542722
64,TRY-UNI-2eddb1ff-7,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC2CC(=O)N2)c1,6.026526337
261,LON-WEI-b8d98729-38,C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,4.494434735
128,MAT-POS-bb423b95-1,O=C(Cc1cccc(Cl)c1)Nc1cncc2cnccc12,5.430751258
169,ERI-UCB-d6de1f3c-1,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2cccc(Cl)c2)C(=O)C1,5.017295769
100,MAT-POS-3b536971-2,COc1cccc2[nH]c(=O)cc(C(=O)N3CCN(c4cccc(Cl)c4)CC3)c12,5.734114782
103,EDJ-MED-6af13d92-3,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cccc(OC)c12,5.682607888
137,MAT-POS-199e2e7c-1,O=C(Cc1cccc(Cl)c1)Nc1cncc2c1CCC2,5.332648407
239,MAT-POS-8e4737f4-1,C[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,4.620219176
104,MED-COV-4280ac29-13,CC1CN(Cc2cccc(Cl)c2)CCN1C(=O)CCl,5.682473929
297,BEN-DND-7e92b6ca-14,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccc(F)cc2)CC1,4.278338349
11,MAT-POS-3b536971-1,COc1ccc(Cl)cc1OCCNC(=O)c1cc(=O)[nH]c2cccc(OC)c12,6.721188173
260,ALP-POS-ddb41b15-8,Cn1c(C(NC(=O)Cc2cc3ccccc3[nH]2)c2cccc(Cl)c2)nc2ccccc21,4.503635472
296,MAT-POS-0c8fa4a7-4,Nc1nn(C(=O)Cc2cccc(Cl)c2)c2cccc(F)c12,4.278635807
273,WAR-XCH-b6889685-26,NS(=O)(=O)c1ccc(N2CCC(Nc3ccc(F)cc3)CC2)cc1,4.406510054
257,LOR-NEU-c8f11034-3,O=C1Nc2ccc(Br)cc2C1=O,4.518805463
26,MAT-POS-f2460aef-1,CC(C)(C)c1ccc(N(C(=O)c2ccco2)[C@H](C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,6.382586744
332,EDJ-MED-c8e7a002-5,Cc1cc(C(F)(F)F)nc2n[nH]c(NC(=O)Cc3cccc(Cl)c3)c12,4.086303023
304,WIL-MOD-03b86a88-2,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2COC2)c1,4.244862264
132,LOR-NOR-30067bb9-18,O=C1C(=O)N(Cc2ncon2)c2ccc(Br)cc21,5.420846323
10,LON-WEI-4d77710c-65,CC(C)(C)c1ccc(-c2nnc(Sc3cnc([N+](=O)[O-])s3)o2)cc1,6.784606035
