Title	FRED Chemgauss4 score
candidates:87_45	-11.817362
candidates:283_2	-11.161650
candidates:69_154	-11.144117
candidates:178_35	-11.062619
candidates:262_187	-11.032317
candidates:67_144	-10.984370
candidates:121_175	-10.961682
candidates:264_146	-10.938334
candidates:169_1	-10.852241
candidates:199_7	-10.788760
candidates:158_4	-10.748584
candidates:57_24	-10.716411
candidates:65_49	-10.695931
candidates:10_11	-10.584278
candidates:246_48	-10.577291
candidates:226_105	-10.543190
candidates:227_43	-10.523964
candidates:203_192	-10.470670
candidates:107_6	-10.449603
candidates:303_3	-10.446230
candidates:128_63	-10.387112
candidates:217_33	-10.383652
candidates:301_51	-10.369860
candidates:347_17	-10.354332
candidates:190_114	-10.304440
candidates:154_46	-10.278893
candidates:43_12	-10.276948
candidates:136_35	-10.250667
candidates:245_168	-10.245882
candidates:233_193	-10.232536
candidates:185_24	-10.213937
candidates:265_1	-10.175640
candidates:286_9	-10.174917
candidates:162_32	-10.155373
candidates:270_12	-10.149065
candidates:248_14	-10.147834
candidates:285_36	-10.146010
candidates:164_1	-10.142605
candidates:150_186	-10.127727
candidates:234_1	-10.121807
candidates:330_25	-10.113882
candidates:37_23	-10.111574
candidates:302_162	-10.093038
candidates:9_85	-10.067736
candidates:3_20	-10.060228
candidates:269_12	-10.041338
candidates:204_113	-10.031438
candidates:72_1	-10.002532
candidates:314_39	-9.994770
candidates:272_75	-9.990370
candidates:278_18	-9.951820
candidates:146_172	-9.917101
candidates:73_14	-9.913403
candidates:327_10	-9.909033
candidates:159_7	-9.908195
candidates:240_6	-9.898255
candidates:243_24	-9.889198
candidates:153_16	-9.885250
candidates:206_196	-9.833442
candidates:138_1	-9.833244
candidates:322_21	-9.796526
candidates:186_7	-9.790736
candidates:305_9	-9.788554
candidates:329_1	-9.778076
candidates:62_5	-9.768412
candidates:109_175	-9.758767
candidates:296_18	-9.757294
candidates:119_59	-9.738152
candidates:304_33	-9.728617
candidates:18_11	-9.724644
candidates:292_152	-9.708624
candidates:13_94	-9.648764
candidates:129_28	-9.646093
candidates:290_50	-9.641220
candidates:167_29	-9.640444
candidates:224_18	-9.638470
candidates:99_10	-9.626877
candidates:100_1	-9.621700
candidates:82_28	-9.621145
candidates:120_34	-9.614904
candidates:287_1	-9.589617
candidates:273_3	-9.585047
candidates:163_46	-9.569012
candidates:4_6	-9.543262
candidates:252_39	-9.522945
candidates:341_160	-9.520575
candidates:266_18	-9.518337
candidates:141_33	-9.506117
candidates:161_1	-9.495531
candidates:188_115	-9.490362
candidates:60_100	-9.481730
candidates:145_94	-9.454842
candidates:32_9	-9.430673
candidates:151_24	-9.429122
candidates:156_5	-9.425654
candidates:232_101	-9.417397
candidates:210_34	-9.411285
candidates:6_26	-9.397703
candidates:202_111	-9.396657
candidates:280_1	-9.395551
candidates:198_123	-9.384150
candidates:215_83	-9.380354
candidates:46_1	-9.346906
candidates:249_37	-9.340330
candidates:173_23	-9.333068
candidates:279_3	-9.331292
candidates:38_11	-9.327335
candidates:170_47	-9.326744
candidates:172_3	-9.313238
candidates:312_6	-9.311358
candidates:171_28	-9.288565
candidates:313_50	-9.284955
candidates:193_1	-9.258579
candidates:114_12	-9.243988
candidates:228_85	-9.213031
candidates:21_3	-9.207973
candidates:320_11	-9.199825
candidates:143_11	-9.172693
candidates:88_10	-9.172114
candidates:200_108	-9.163780
candidates:231_137	-9.146474
candidates:211_14	-9.144323
candidates:331_22	-9.110844
candidates:205_27	-9.106541
candidates:239_34	-9.061956
candidates:221_3	-9.021276
candidates:86_5	-9.012378
candidates:324_1	-8.970810
candidates:126_101	-8.967120
candidates:344_1	-8.958485
candidates:267_159	-8.944086
candidates:30_11	-8.941502
candidates:16_11	-8.941502
candidates:135_26	-8.939398
candidates:214_57	-8.926701
