lig_name,LF Rank Score,LF dG,LF VSscore
A O6K 502_D,-12.516,-8.092,-10.687
LON-WEI-f8a636e2-1	LON-WEI-f8a636e2-1			81.98485099			99.5						False	Fa_D,-12.206,-7.284,-8.770
LON-WEI-b2874fec-1	LON-WEI-b2874fec-1			99.0			99.5						False	False_D,-5.966,-8.838,-9.912
LON-WEI-b2874fec-2	LON-WEI-b2874fec-2			99.0			99.5						False	False_D,-5.516,-8.347,-9.573
LON-WEI-b2874fec-3	LON-WEI-b2874fec-3			99.0			99.5						False	False_D,-9.744,-9.238,-9.963
LON-WEI-b2874fec-4	LON-WEI-b2874fec-4			99.0			99.5						False	False_D,-5.627,-9.637,-12.135
LON-WEI-b2874fec-5	LON-WEI-b2874fec-5			99.0			99.5						False	False_D,-8.857,-8.929,-9.377
LON-WEI-b2874fec-6	LON-WEI-b2874fec-6			99.0			99.5						False	False_D,-5.299,-8.001,-9.374
LON-WEI-b2874fec-7	LON-WEI-b2874fec-7			99.0			99.5						False	False_D,-4.601,-8.201,-9.179
LON-WEI-b2874fec-9	LON-WEI-b2874fec-9			99.0			99.5						False	False_D,-5.544,-8.864,-9.987
LON-WEI-b2874fec-10	LON-WEI-b2874fec-10			99.0			99.5						False	False_D,-9.013,-8.500,-9.648
LON-WEI-b2874fec-11	LON-WEI-b2874fec-11			99.0			99.5						False	False_D,-8.546,-6.958,-8.327
LON-WEI-b2874fec-12	LON-WEI-b2874fec-12			99.0			99.5						False	False_D,-5.090,-8.053,-8.716
LON-WEI-b2874fec-13	LON-WEI-b2874fec-13			99.0			99.5						False	False_D,-5.514,-8.828,-9.744
LON-WEI-b2874fec-14	LON-WEI-b2874fec-14			99.0			99.5						False	False_D,-9.235,-7.305,-9.056
LON-WEI-b2874fec-15	LON-WEI-b2874fec-15			99.80167029			99.5						False_D,-7.365,-6.952,-8.852
LON-WEI-b2874fec-16	LON-WEI-b2874fec-16			65.02002506			99.5						False_D,-6.678,-6.547,-8.383
